Vertex Count: 144

Data:

-1.0  0.0 -1.0		 0.0 -1.0  0.0
 1.0  0.0 -1.0		 0.0 -1.0  0.0
-1.0  0.0  1.0		 0.0 -1.0  0.0
-1.0  0.0  1.0		 0.0 -1.0  0.0
 1.0  0.0 -1.0		 0.0 -1.0  0.0
 1.0  0.0  1.0		 0.0 -1.0  0.0

 1.0  0.0 -1.0		 0.0 -1.0  0.0
 3.0  0.0 -1.0		 0.0 -1.0  0.0
 1.0  0.0  1.0		 0.0 -1.0  0.0
 1.0  0.0  1.0		 0.0 -1.0  0.0
 3.0  0.0 -1.0		 0.0 -1.0  0.0
 3.0  0.0  1.0		 0.0 -1.0  0.0

 
-3.0  0.0 -1.0		 0.0 -1.0  0.0
-1.0  0.0 -1.0		 0.0 -1.0  0.0
-3.0  0.0  1.0		 0.0 -1.0  0.0
-3.0  0.0  1.0		 0.0 -1.0  0.0
-1.0  0.0 -1.0		 0.0 -1.0  0.0
-1.0  0.0  1.0		 0.0 -1.0  0.0

 3.0  0.0 -1.0		 0.0 -1.0  0.0
 5.0  0.0 -1.0		 0.0 -1.0  0.0
 3.0  0.0  1.0		 0.0 -1.0  0.0
 3.0  0.0  1.0		 0.0 -1.0  0.0
 5.0  0.0 -1.0		 0.0 -1.0  0.0
 5.0  0.0  1.0		 0.0 -1.0  0.0

-5.0  0.0 -1.0		 0.0 -1.0  0.0
-3.0  0.0 -1.0		 0.0 -1.0  0.0
-5.0  0.0  1.0		 0.0 -1.0  0.0
-5.0  0.0  1.0		 0.0 -1.0  0.0
-3.0  0.0 -1.0		 0.0 -1.0  0.0
-3.0  0.0  1.0		 0.0 -1.0  0.0


-3.0  0.0 -3.0		 0.0 -1.0  0.0
-1.0  0.0 -3.0		 0.0 -1.0  0.0
-3.0  0.0 -1.0		 0.0 -1.0  0.0
-3.0  0.0 -1.0		 0.0 -1.0  0.0
-1.0  0.0 -3.0		 0.0 -1.0  0.0
-1.0  0.0 -1.0		 0.0 -1.0  0.0

-1.0  0.0 -3.0		 0.0 -1.0  0.0
 1.0  0.0 -3.0		 0.0 -1.0  0.0
-1.0  0.0 -1.0		 0.0 -1.0  0.0
-1.0  0.0 -1.0		 0.0 -1.0  0.0
 1.0  0.0 -3.0		 0.0 -1.0  0.0
 1.0  0.0 -1.0		 0.0 -1.0  0.0

 1.0  0.0 -3.0		 0.0 -1.0  0.0
 3.0  0.0 -3.0		 0.0 -1.0  0.0
 1.0  0.0 -1.0		 0.0 -1.0  0.0
 1.0  0.0 -1.0		 0.0 -1.0  0.0
 3.0  0.0 -3.0		 0.0 -1.0  0.0
 3.0  0.0 -1.0		 0.0 -1.0  0.0

-5.0  0.0 -3.0		 0.0 -1.0  0.0
-3.0  0.0 -3.0		 0.0 -1.0  0.0
-5.0  0.0 -1.0		 0.0 -1.0  0.0
-5.0  0.0 -1.0		 0.0 -1.0  0.0
-3.0  0.0 -3.0		 0.0 -1.0  0.0
-3.0  0.0 -1.0		 0.0 -1.0  0.0

 3.0  0.0 -3.0		 0.0 -1.0  0.0
 5.0  0.0 -3.0		 0.0 -1.0  0.0
 3.0  0.0 -1.0		 0.0 -1.0  0.0
 3.0  0.0 -1.0		 0.0 -1.0  0.0
 5.0  0.0 -3.0		 0.0 -1.0  0.0
 5.0  0.0 -1.0		 0.0 -1.0  0.0



-3.0  0.0 -5.0		 0.0 -1.0  0.0
-1.0  0.0 -5.0		 0.0 -1.0  0.0
-3.0  0.0 -3.0		 0.0 -1.0  0.0
-3.0  0.0 -3.0		 0.0 -1.0  0.0
-1.0  0.0 -5.0		 0.0 -1.0  0.0
-1.0  0.0 -3.0		 0.0 -1.0  0.0

-1.0  0.0 -5.0		 0.0 -1.0  0.0
 1.0  0.0 -5.0		 0.0 -1.0  0.0
-1.0  0.0 -3.0		 0.0 -1.0  0.0
-1.0  0.0 -3.0		 0.0 -1.0  0.0
 1.0  0.0 -5.0		 0.0 -1.0  0.0
 1.0  0.0 -3.0		 0.0 -1.0  0.0

 1.0  0.0 -5.0		 0.0 -1.0  0.0
 3.0  0.0 -5.0		 0.0 -1.0  0.0
 1.0  0.0 -3.0		 0.0 -1.0  0.0
 1.0  0.0 -3.0		 0.0 -1.0  0.0
 3.0  0.0 -5.0		 0.0 -1.0  0.0
 3.0  0.0 -3.0		 0.0 -1.0  0.0

-5.0  0.0 -5.0		 0.0 -1.0  0.0
-3.0  0.0 -5.0		 0.0 -1.0  0.0
-5.0  0.0 -3.0		 0.0 -1.0  0.0
-5.0  0.0 -3.0		 0.0 -1.0  0.0
-3.0  0.0 -5.0		 0.0 -1.0  0.0
-3.0  0.0 -3.0		 0.0 -1.0  0.0

3.0  0.0 -5.0		 0.0 -1.0  0.0
5.0  0.0 -5.0		 0.0 -1.0  0.0
3.0  0.0 -3.0		 0.0 -1.0  0.0
3.0  0.0 -3.0		 0.0 -1.0  0.0
5.0  0.0 -5.0		 0.0 -1.0  0.0
5.0  0.0 -3.0		 0.0 -1.0  0.0



-3.0  0.0 5.0		 0.0 -1.0  0.0
-1.0  0.0 5.0		 0.0 -1.0  0.0
-3.0  0.0 3.0		 0.0 -1.0  0.0
-3.0  0.0 3.0		 0.0 -1.0  0.0
-1.0  0.0 5.0		 0.0 -1.0  0.0
-1.0  0.0 3.0		 0.0 -1.0  0.0

-1.0  0.0 5.0		 0.0 -1.0  0.0
 1.0  0.0 5.0		 0.0 -1.0  0.0
-1.0  0.0 3.0		 0.0 -1.0  0.0
-1.0  0.0 3.0		 0.0 -1.0  0.0
 1.0  0.0 5.0		 0.0 -1.0  0.0
 1.0  0.0 3.0		 0.0 -1.0  0.0

 1.0  0.0 5.0		 0.0 -1.0  0.0
 3.0  0.0 5.0		 0.0 -1.0  0.0
 1.0  0.0 3.0		 0.0 -1.0  0.0
 1.0  0.0 3.0		 0.0 -1.0  0.0
 3.0  0.0 5.0		 0.0 -1.0  0.0
 3.0  0.0 3.0		 0.0 -1.0  0.0

-5.0  0.0 5.0		 0.0 -1.0  0.0
-3.0  0.0 5.0		 0.0 -1.0  0.0
-5.0  0.0 3.0		 0.0 -1.0  0.0
-5.0  0.0 3.0		 0.0 -1.0  0.0
-3.0  0.0 5.0		 0.0 -1.0  0.0
-3.0  0.0 3.0		 0.0 -1.0  0.0

3.0  0.0 5.0		 0.0 -1.0  0.0
5.0  0.0 5.0		 0.0 -1.0  0.0
3.0  0.0 3.0		 0.0 -1.0  0.0
3.0  0.0 3.0		 0.0 -1.0  0.0
5.0  0.0 5.0		 0.0 -1.0  0.0
5.0  0.0 3.0		 0.0 -1.0  0.0



-3.0  0.0 3.0		 0.0 -1.0  0.0
-1.0  0.0 3.0		 0.0 -1.0  0.0
-3.0  0.0 1.0		 0.0 -1.0  0.0
-3.0  0.0 1.0		 0.0 -1.0  0.0
-1.0  0.0 3.0		 0.0 -1.0  0.0
-1.0  0.0 1.0		 0.0 -1.0  0.0

-1.0  0.0 3.0		 0.0 -1.0  0.0
 1.0  0.0 3.0		 0.0 -1.0  0.0
-1.0  0.0 1.0		 0.0 -1.0  0.0
-1.0  0.0 1.0		 0.0 -1.0  0.0
 1.0  0.0 3.0		 0.0 -1.0  0.0
